0	10Duke Identity Provider	0.3952702702702703	0.0033783783783783786	0.016891891891891893	0.0033783783783783786	0.0033783783783783786	0.0033783783783783786	0.125	0.125	0.0033783783783783786	0.0033783783783783786	0.04391891891891892	0.0033783783783783786	0.030405405405405407	0.0033783783783783786	0.057432432432432436	0.0033783783783783786	0.0033783783783783786	0.04391891891891892	0.09797297297297297	0.030405405405405407
1	11870	0.054878048780487805	0.03048780487804878	0.054878048780487805	0.10365853658536585	0.006097560975609756	0.3475609756097561	0.006097560975609756	0.006097560975609756	0.006097560975609756	0.03048780487804878	0.006097560975609756	0.22560975609756098	0.006097560975609756	0.03048780487804878	0.006097560975609756	0.03048780487804878	0.03048780487804878	0.006097560975609756	0.006097560975609756	0.006097560975609756
2	123Cloud SMS Broadcasting	0.10119047619047619	0.005952380952380952	0.005952380952380952	0.005952380952380952	0.005952380952380952	0.005952380952380952	0.125	0.005952380952380952	0.07738095238095238	0.4583333333333333	0.005952380952380952	0.05357142857142857	0.005952380952380952	0.005952380952380952	0.07738095238095238	0.005952380952380952	0.005952380952380952	0.02976190476190476	0.005952380952380952	0.005952380952380952
3	1Map	0.005952380952380952	0.005952380952380952	0.22023809523809523	0.005952380952380952	0.17261904761904762	0.10119047619047619	0.02976190476190476	0.005952380952380952	0.05357142857142857	0.17261904761904762	0.005952380952380952	0.005952380952380952	0.005952380952380952	0.005952380952380952	0.005952380952380952	0.05357142857142857	0.02976190476190476	0.07738095238095238	0.02976190476190476	0.005952380952380952
4	2Checkout Admin	0.32142857142857145	0.007142857142857143	0.007142857142857143	0.007142857142857143	0.007142857142857143	0.06428571428571428	0.007142857142857143	0.007142857142857143	0.007142857142857143	0.03571428571428571	0.007142857142857143	0.007142857142857143	0.32142857142857145	0.007142857142857143	0.15	0.007142857142857143	0.007142857142857143	0.007142857142857143	0.007142857142857143	0.007142857142857143
5	30 Digits Web Extractor	0.008333333333333333	0.008333333333333333	0.10833333333333334	0.008333333333333333	0.008333333333333333	0.041666666666666664	0.008333333333333333	0.008333333333333333	0.008333333333333333	0.008333333333333333	0.008333333333333333	0.008333333333333333	0.44166666666666665	0.041666666666666664	0.24166666666666667	0.008333333333333333	0.008333333333333333	0.008333333333333333	0.008333333333333333	0.008333333333333333
6	360T	0.08854166666666667	0.026041666666666668	0.005208333333333333	0.005208333333333333	0.005208333333333333	0.06770833333333333	0.005208333333333333	0.005208333333333333	0.234375	0.026041666666666668	0.005208333333333333	0.005208333333333333	0.005208333333333333	0.005208333333333333	0.13020833333333334	0.08854166666666667	0.08854166666666667	0.171875	0.026041666666666668	0.005208333333333333
7	3DGeoStats	0.006756756756756757	0.006756756756756757	0.060810810810810814	0.006756756756756757	0.006756756756756757	0.006756756756756757	0.060810810810810814	0.006756756756756757	0.006756756756756757	0.006756756756756757	0.08783783783783784	0.19594594594594594	0.006756756756756757	0.033783783783783786	0.006756756756756757	0.006756756756756757	0.11486486486486487	0.27702702702702703	0.08783783783783784	0.006756756756756757
8	3Scale Billing	0.1541095890410959	0.07191780821917808	0.003424657534246575	0.04452054794520548	0.09931506849315068	0.003424657534246575	0.1678082191780822	0.003424657534246575	0.07191780821917808	0.003424657534246575	0.003424657534246575	0.030821917808219176	0.003424657534246575	0.003424657534246575	0.2226027397260274	0.003424657534246575	0.003424657534246575	0.003424657534246575	0.09931506849315068	0.003424657534246575
9	511 Real-time Transit Departures	0.004464285714285714	0.004464285714285714	0.5044642857142857	0.004464285714285714	0.004464285714285714	0.05803571428571429	0.004464285714285714	0.004464285714285714	0.004464285714285714	0.04017857142857143	0.004464285714285714	0.004464285714285714	0.18303571428571427	0.004464285714285714	0.004464285714285714	0.004464285714285714	0.004464285714285714	0.04017857142857143	0.11160714285714286	0.004464285714285714
10	6rounds	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.17105263157894737	0.06578947368421052	0.013157894736842105	0.06578947368421052	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.4868421052631579	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.013157894736842105
11	7-Eleven Election	0.005952380952380952	0.02976190476190476	0.005952380952380952	0.02976190476190476	0.005952380952380952	0.05357142857142857	0.005952380952380952	0.005952380952380952	0.005952380952380952	0.005952380952380952	0.005952380952380952	0.02976190476190476	0.005952380952380952	0.005952380952380952	0.1488095238095238	0.005952380952380952	0.005952380952380952	0.005952380952380952	0.48214285714285715	0.1488095238095238
12	796 Xchange	0.005555555555555556	0.027777777777777776	0.027777777777777776	0.005555555555555556	0.05	0.005555555555555556	0.005555555555555556	0.005555555555555556	0.6722222222222223	0.027777777777777776	0.005555555555555556	0.05	0.005555555555555556	0.005555555555555556	0.005555555555555556	0.027777777777777776	0.05	0.005555555555555556	0.005555555555555556	0.005555555555555556
13	8x8 Real Time Statistics Reporting	0.003787878787878788	0.003787878787878788	0.003787878787878788	0.003787878787878788	0.04924242424242424	0.1553030303030303	0.07954545454545454	0.03409090909090909	0.125	0.06439393939393939	0.003787878787878788	0.003787878787878788	0.03409090909090909	0.03409090909090909	0.003787878787878788	0.003787878787878788	0.04924242424242424	0.1856060606060606	0.125	0.03409090909090909
